رمز المساق,رقم المساق,الشعبة,اسم المساق,الساعات,سعة القاعة,سبت,حد,ثن,ثل,ربع,خمس,جمع,وقت البداية,وقت النهاية,الحد الاقصى,الشعبة ملغاة,رمز القاعة,عدد المسجلين,المحاضر,طريقة  تدريس المساق
BIT,221,1,الجوانب القانونية في تكنولوجيا المعلومات,3,300,  ,X,  ,X,  ,X,  ,05:30:00 PM,06:30:00 PM,54,لا,0 Oline,54,احمد يوسف رواشدة,إلكتروني
BIT,221,2,الجوانب القانونية في تكنولوجيا المعلومات,3,300,X,  ,X,  ,X,  ,  ,06:30:00 PM,07:30:00 PM,52,لا,0 Oline,52,هبه خالد القرعان,إلكتروني
BIT,222,1,ريادة الأعمال في تكنولوجيا المعلومات,3,72,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,64,لا,خز 422,63,عيسى الشهابات,وجاهي
BIT,241,1,بحوث العمليات,3,55,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,45,لا,م.ق 207,45,بلال ابوعطا,مدمج
BIT,250,1,التجارة الالكترونية,3,57,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,58,لا,م.ق 206,58,هبه خالد القرعان,مدمج
BIT,270,1,التسويق الالكتروني,3,33,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,30,لا,م.ق 102,30,يسرى عبده حرب,وجاهي
BIT,364,1,ادارة النظم والمشاريع,3,55,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,55,لا,م.ق 207,55,علي الزحراوي,وجاهي
BIT,364,2,ادارة النظم والمشاريع,3,56,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,46,لا,خز 413,45,علي الزحراوي,وجاهي
BIT,370,1,تخطيط الموارد المؤسسية (ERP),3,55,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,39,لا,م.ق 204,39,عيسى الشهابات,وجاهي
BIT,381,1,تطوير تطبيقات الانترنت (1),3,49,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,44,لا,خز 117,44,عيسى الشهابات,وجاهي
